Ref,Question,Ratio,Transitions,Black_Size,Normalization,Normalization_Sums,Angles,Centroid
R012,Q074,114.40279716860073,1269.9086581325446,3469.2785993632738,3469.2785993632738,2.8076600688514297,2.722652592233865,280.21397392
R012,Q097,1308.5786181960946,672.8164682883438,30019.183216736594,30019.183216736594,3.3262871590656196,3.416210261705093,165.065751604
R012,Q068,172.26433176952216,787.497936505233,4897.769186068286,4897.769186068286,3.8220569400555493,3.9025985135548287,272.584983425
R012,Q079,102.71319292087068,726.0096418092531,3467.0196134432235,3467.0196134432235,3.343278556638384,3.449193301909111,220.271675705
R012,Q086,124.22157622571048,627.357952049705,3740.132216914263,3740.132216914263,4.292579179717047,4.294021941623054,272.485820016
R012,Q065,131.87114923287808,1195.751228307962,3724.755830923686,3724.755830923686,3.8409460760496223,3.8938202140305864,423.286732089
R012,Q052,40.7308237088326,384.8934917610325,3728.3363582166244,3728.3363582166244,2.1893418383015963,1.842317407988981,119.068876533
R012,Q007,102.0,1570.2467958891048,3682.8114260711204,3682.8114260711204,3.4177549325831413,3.505724435559262,264.510144531
R012,Q030,125.51892287619425,708.6966911168698,3683.6275598925577,3683.6275598925577,3.274053871293862,3.2243996940225683,271.327822727
R012,Q062,93.43446901438462,1563.0742144888707,25304.84258002804,25304.84258002804,3.0989624263096998,3.3700732962171,426.920012097
R012,Q055,102.61578825892242,523.5790293737899,3594.8738503597037,3594.8738503597037,3.4512668290132855,3.5981742656486633,390.406005728
R012,Q037,135.9521974813206,567.5649742540496,3634.470800543045,3634.470800543045,2.6149209607829955,2.546824595272972,250.673926227
R012,Q081,96.6229786334493,652.689819133101,4119.9342227758925,4119.9342227758925,3.844446322585046,4.41515819912356,432.143357223
R012,Q049,134.61797799699713,1074.9227879247885,3794.0396676893088,3794.0396676893088,3.7646158445373787,3.690364435510221,245.111709602
R012,Q058,124.52309022827855,717.968662268765,3602.756028376054,3602.756028376054,3.54971923147448,3.637801709736046,231.570017743
R012,Q090,102.61091559868278,1989.8188359747728,5202.667008371764,5202.667008371764,3.5708236566633413,3.957552912376821,378.34665504
R012,Q026,129.6688088940436,2380.167641154715,3513.735618967369,3513.735618967369,3.6296930026670453,3.886298831438503,381.056164012
R012,Q011,88.90444308357148,730.0061643575348,4916.92312325503,4916.92312325503,4.406924533641694,4.350121449448446,238.53994988
R012,Q044,106.90182411914213,568.9639707398001,3441.516816753915,3441.516816753915,2.751370899381366,2.532208417317511,206.643405878
R012,Q073,118.0127111797708,610.5153560722285,31504.037090506354,31504.037090506354,3.8811776724963925,3.7300538822453664,239.804699969
R012,Q095,113.86834503056589,450.58850406995515,3575.7719446295787,3575.7719446295787,3.3534249552491504,3.5104155209522436,213.943580768
R012,Q008,122.27837094106218,693.3253204665181,8565.349846912268,8565.349846912268,4.180810734475702,5.086921477330698,310.564087345
R012,Q089,115.45994976614185,1881.5389977356303,3557.4527403747757,3557.4527403747757,3.643483593288507,3.778934742736165,347.840185086
R012,Q014,120.20399327809372,1447.151339701553,3527.728164130564,3527.728164130564,3.558694053652163,3.536223984946862,274.723114668
R012,Q023,96.76776322722355,640.7308327215103,3491.2348818147425,3491.2348818147425,3.3423660968046183,3.2992423513267046,294.182170399
R012,Q100,105.97169433391164,1334.2983174687736,90203.7831911722,90203.7831911722,4.162113932325425,4.224399330238258,303.619517827
R012,Q076,116.940155635265,1348.762766389998,3800.1456551032356,3800.1456551032356,3.6966774354198897,3.774250339812122,323.7507457
R012,Q041,103.23274674249446,661.0529479550031,4500.468642263825,4500.468642263825,3.0495761576837004,2.973282794414371,217.677549126
R012,Q050,153.0947419084013,1432.3784416138076,5318.022282766405,5318.022282766405,3.4125422094670452,3.7505122018100367,270.44443489
R012,Q067,126.56223765404908,1246.6844027258865,7388.544037900837,7388.544037900837,3.4736408903118154,3.5512771294241525,368.965818022
R012,Q032,99.62429422585637,675.3858156639063,3556.795748985314,3556.795748985314,3.406061649253042,4.153052939744293,272.748821371
R012,Q005,75.99342076785332,483.42941573718906,23886.947272516845,23886.947272516845,3.5574618355331062,4.586381715883137,180.324449595
R012,Q098,334.33516117812076,540.8909317043501,4269.230492723484,4269.230492723484,2.8859828201523787,3.032500523613888,221.743613518
R012,Q019,69.94998213009065,624.5678505975152,3152.5767238879375,3152.5767238879375,4.0603423588122505,4.365596087019532,228.36705026
R012,Q084,125.06398362438324,567.4997797356401,4070.647123001452,4070.647123001452,2.6882644519168832,2.8774026529257952,280.741945257
R003,Q020,79.45438943192504,1769.6895207917123,3894.734907538638,3894.734907538638,3.780990975182318,3.9676551963660183,403.822882552
R003,Q017,55.85696017507576,536.2844394535422,3036.3634499183395,3036.3634499183395,3.3718757812646616,3.270421563778672,223.266413806
R003,Q042,105.09043724335721,1292.225212569388,5830.6488489704125,5830.6488489704125,2.8636271766187877,3.623709623926895,226.199336777
R003,Q075,77.83315488916018,629.6784893896249,1723.9683871811571,1723.9683871811571,3.534320870093335,3.358652039106955,151.257351159
R003,Q069,76.71375365604267,3867.9957342272237,30437.628274883704,30437.628274883704,3.578725420156805,4.342102924915766,520.444099027
R003,Q096,103.45047124107265,603.9370828157516,20602.26577345317,20602.26577345317,2.622950140211299,2.7028921998290514,146.620551723
R003,Q087,44.11349000022555,1624.0711191324103,13352.106425579448,13352.106425579448,3.4174201830647175,3.712225918205996,304.692868074
R003,Q078,52.14403129793476,1726.0240438649746,2530.88126943956,2530.88126943956,2.8468999350924467,2.8626249949052287,243.670022073
R003,Q064,88.97752525216691,549.5106914337518,2447.3297693608843,2447.3297693608843,3.473632730293175,3.395874470682868,209.827034447
R003,Q053,84.34453153583817,675.4827903063112,7430.4108230972,7430.4108230972,3.365552303253389,3.3877423638457826,221.379728801
R003,Q006,66.69332800213226,620.8953212901512,3001.002332554908,3001.002332554908,3.3771388718952053,3.4078678137244944,269.411887443
R003,Q031,139.91425945914162,686.5085578490628,451.30588296630924,451.30588296630924,3.397649476006941,3.3406725575220206,244.156978573
R003,Q028,38.62641583165593,1299.2890363579613,485.895050396688,485.895050396688,3.4996134112896122,3.505642815755677,365.86161545
R003,Q082,43.08131845707603,620.4925462888333,2631.8599886772095,2631.8599886772095,2.514292485845337,3.3950289280489483,202.647703444
R003,Q056,42.790185790669334,590.6902741708212,425.84151981693844,425.84151981693844,2.53217253681093,3.169177609887564,190.692252035
R003,Q061,37.21558813185679,673.2822587889866,263879.155724737,263879.155724737,2.4581508171539843,2.1859218688327857,402.090451824
R003,Q034,48.0,728.8991699816924,438.4951539070871,438.4951539070871,3.653023134501214,3.564456043753598,273.346236056
R003,Q003,86.19164692706596,703.6391120453723,2540.6294495655993,2540.6294495655993,2.775457122306812,2.87414447369523,240.192536589
